kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_parm_prov,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_trans_mod,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec
757450,K00889.01,Kepler-75 b,CONFIRMED,Done,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.884922995,0,0.0690,2.07004,1.6053E+04,0.114124,11.62061,LS+MCMC,10.51,0.0786,89.89,770.0,83.21,36.466000,q1_q17_dr25_koi,388.20,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5332.00,4.500,-0.0800,0.8430,0.8210,,q1_q17_dr25_stellar,291.137600,36.577381
892772,K01009.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST,5.092465390,0,0.1610,3.65900,2.54E+02,0.014236,0.88510,LS+MCMC,1.17,0.0521,89.14,844.0,119.70,10.670000,q1_q17_dr25_koi,17.10,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5037.00,4.547,-0.2000,0.7510,0.7270,,q1_q17_dr25_stellar,291.153380,36.678841
1025986,K07621.01,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,q1_q17_dr25_sup_koi,INDIV_TRANS_CHASES_SKYE---CENT_SATURATED,275.073650000,0,0.5950,3.37000,2.289E+02,0.014379,33.55994,LS+MCMC,1.86,0.7891,89.93,303.0,2.00,512.000000,q1_q17_dr25_koi,7.50,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5604.00,4.226,-0.1200,1.1870,0.8640,,q1_q17_dr25_stellar,291.033690,36.771042
1026032,K06252.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,8.460438928,0,1.0610,4.73492,7.6413E+04,0.477640,0.73874,LS+MCMC,36.62,0.0749,85.68,804.0,98.60,14.086620,q1_q17_dr25_koi,1797.40,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5951.00,4.638,-1.0600,0.7020,0.7960,,q1_q17_dr25_stellar,291.044070,36.729271
1026957,K00958.01,Kepler-1731 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,21.761298120,0,0.1230,1.24300,1.3007E+03,0.032165,102.86534,LS+MCMC,2.53,0.1401,89.95,486.0,13.18,137.070000,q1_q17_dr25_koi,60.00,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,4859.00,4.612,0.0000,0.7200,0.7810,,q1_q17_dr25_stellar,291.254490,36.743610
1027438,K01010.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,110.615766220,,,5.00000,,,,none,,,,,,,q1_q16_koi,,1,,,,,,,,,,,,291.354030,36.784519
1161345,K00984.01,Kepler-1973 b,CONFIRMED,Done,CANDIDATE,0.7110,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.287466680,0,0.3740,1.56930,7.901E+02,0.025717,8.16471,LS+MCMC,2.29,0.0501,88.93,942.0,186.31,19.940000,q1_q17_dr25_koi,19.40,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5296.00,4.576,0.1200,0.8150,0.9110,,q1_q17_dr25_stellar,291.048800,36.839882
1161949,K04920.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,473.951030000,0,0.1671,11.77800,3.306E+02,0.016809,2.46867,MCMC,3.32,1.2827,89.95,341.0,3.21,308.000000,q1_q16_koi,9.60,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,6513.00,4.020,-0.1400,1.8100,1.2520,,stellar_q1_q16,291.178010,36.874580
1164301,K04921.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,95.688682000,0,0.5497,6.46500,4.538E+02,0.019927,1.89452,MCMC,28.41,0.5897,89.95,1046.0,283.07,97.200000,q1_q16_koi,9.80,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,5040.00,2.681,0.0700,13.0560,2.9810,,stellar_q1_q16,291.691960,36.881409
1293031,K04162.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,1,0,0,0,q1_q17_dr25_sup_koi,INDIV_TRANS_RUBBLE_SKYE_ZUMA_TRACKER---SWEET_NTL---LPP_ALT---MOD_NONUNIQ_DV---MOD_NONUNIQ_ALT---MOD_TER_ALT---MOD_POS_ALT,0.539365930,0,0.9880,5.43400,1.45E+02,0.015878,0.06737,LS+MCMC,9.19,0.0165,12.57,5016.0,149399.93,1.011900,q1_q17_dr25_koi,57.60,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6341.00,3.301,-0.1000,5.3020,2.0500,,q1_q17_dr25_stellar,291.020970,36.903648
1293046,K07622.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST,36.267167300,0,0.2140,2.06500,6.271E+02,0.022172,34.69388,LS+MCMC,1.50,0.1817,89.91,347.0,3.44,134.100000,q1_q17_dr25_koi,10.00,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,4264.00,4.637,-0.2000,0.6200,0.6070,,q1_q17_dr25_stellar,291.026550,36.916370
1293379,K06253.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,EYEBALL---TOO_FEW_QUARTERS,27.556452000,0,0.1438,8.23000,2.892E+02,0.015347,0.42381,MCMC,1.40,0.1748,89.95,531.0,18.86,25.720000,q1_q17_dr24_koi,6.70,1,1,q1_q17_dr24_tce,Mandel and Agol (2002 ApJ 580 171),,5509.00,4.565,0.0200,0.8360,0.9370,,stellar_q1_q17,291.113980,36.994061
1297263,K04922.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,153.521361000,0,0.1485,3.89300,2.552E+02,0.014711,22.19524,MCMC,3.09,0.5970,89.95,493.0,13.99,302.000000,q1_q16_koi,5.70,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,6233.00,3.951,-0.1400,1.9210,1.2000,,stellar_q1_q16,291.948520,36.952080
1429589,K04923.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,38.168652000,0,0.0283,5.08600,9.06E+01,0.008741,2.50902,MCMC,1.40,0.2238,89.95,696.0,55.36,57.800000,q1_q17_dr24_koi,8.30,1,1,q1_q17_dr24_tce,Mandel and Agol (2002 ApJ 580 171),,6164.00,4.117,-0.2800,1.4650,1.0260,,stellar_q1_q16,290.756260,37.089809
1430305,K04873.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,359.325900000,0,0.2279,9.83600,2.462E+02,0.014538,3.07758,MCMC,3.60,1.1329,89.95,410.0,6.69,275.920000,q1_q16_koi,13.50,1,,,Mandel and Agol (2002 ApJ 580 171),,6570.00,3.902,-0.0800,2.2700,1.5000,,stellar_q1_q16,290.928800,37.085251
1431122,K00994.01,,CANDIDATE,Done,CANDIDATE,0.9900,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,4.298920100,0,0.9720,2.74700,2.376E+02,0.019694,0.05666,LS+MCMC,2.12,0.0492,75.22,1046.0,283.62,3.810000,q1_q17_dr25_koi,20.00,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5300.00,4.385,0.1800,0.9860,0.8610,,q1_q17_dr25_stellar,291.142490,37.061321
1432214,K00998.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,161.788327120,0,0.2670,5.31000,8.775E+04,0.273088,17.58377,LS+MCMC,36.14,0.6070,89.95,375.0,4.68,289.800000,q1_q17_dr25_koi,704.50,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6018.00,4.327,0.1800,1.2120,1.1420,,q1_q17_dr25_stellar,291.382690,37.072990
1432789,K00992.01,Kepler-745 b,CONFIRMED,Done,CANDIDATE,0.8480,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.931463070,0,0.0370,5.67800,3.986E+02,0.018094,0.48317,LS+MCMC,2.41,0.0915,89.84,931.0,177.83,13.607000,q1_q17_dr25_koi,26.20,2,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5782.00,4.280,0.1600,1.2200,1.0350,,q1_q17_dr25_stellar,291.499420,37.059280
1432789,K00992.02,,CANDIDATE,Done,CANDIDATE,0.9610,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.578343670,0,0.2320,3.98700,1.407E+02,0.010812,0.58469,LS+MCMC,1.44,0.0546,88.47,1206.0,499.41,8.653000,q1_q17_dr25_koi,11.40,2,2,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5782.00,4.280,0.1600,1.2200,1.0350,,q1_q17_dr25_stellar,291.499420,37.059280
1433531,K06254.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,MARSHALL_FAIL---TOO_FEW_QUARTERS,567.713290000,0,0.4247,12.85000,2.594E+02,0.015047,1.76686,MCMC,3.28,1.4346,89.95,325.0,2.64,311.000000,q1_q17_dr24_koi,6.60,1,1,q1_q17_dr24_tce,Mandel and Agol (2002 ApJ 580 171),,6248.00,3.924,-0.1600,1.9960,1.2180,,stellar_q1_q17,291.665470,37.076118
1433962,K00982.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_ALT---CENT_RESOLVED_OFFSET---EPHEM_MATCH,1.592633181,0,0.0030,5.56050,6.331E+02,0.022007,0.09265,LS,1.56,0.0232,89.93,1053.0,290.51,2.316007,q1_q17_dr25_koi,66.90,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,4506.00,4.626,-0.2000,0.6510,0.6540,,q1_q17_dr25_stellar,291.761960,37.098640
1433980,K03924.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,SWEET_EB---MOD_SEC_ALT---HAS_SEC_TCE---CENT_NOFITS,1.592634161,0,0.8770,8.94880,1.5516E+05,0.519012,0.06389,LS+MCMC,100.20,0.0292,64.63,2255.0,6128.09,2.046100,q1_q17_dr25_koi,1207.60,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6574.00,4.061,-0.2200,1.7680,1.3170,,q1_q17_dr25_stellar,291.766330,37.097191
1434395,K07623.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0140,0,0,1,0,q1_q17_dr25_sup_koi,PLANET_IN_STAR---CENT_RESOLVED_OFFSET---HALO_GHOST,2.222728900,0,0.2540,2.61700,2.791E+02,0.014994,1.00737,LS+MCMC,34.14,0.0510,87.73,4454.0,93172.12,6.410000,q1_q17_dr25_koi,10.50,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,4996.00,2.354,0.0700,20.8480,3.5840,,q1_q17_dr25_stellar,291.856480,37.065651
1571511,K00362.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0040,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,14.022451457,0,0.1890,8.08619,2.0083E+04,0.130221,0.31052,LS+MCMC,14.93,0.1143,89.27,810.0,101.92,14.778000,q1_q17_dr25_koi,2707.70,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6061.00,4.401,-0.1400,1.0500,1.0120,,q1_q17_dr25_stellar,290.996920,37.199219
1572948,K04924.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS---HALO_GHOST,3.003180100,0,0.9800,2.81400,3.747E+02,0.024342,0.03844,LS+MCMC,4.70,0.0450,68.19,1827.0,2630.88,2.640000,q1_q17_dr25_koi,13.90,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6606.00,4.071,-0.1600,1.7680,1.3490,,q1_q17_dr25_stellar,291.327480,37.126701
1575690,K03658.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_DV---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED---CENT_KIC_POS,2.252417903,0,1.1980,1.97670,3.2296E+04,0.456070,1.46000,LS+MCMC,27.09,0.0274,80.57,782.0,88.43,7.320000,q1_q17_dr25_koi,129.50,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,3979.00,4.699,-0.2600,0.5440,0.5390,,q1_q17_dr25_stellar,291.881900,37.189110
